م,اسم المنافسة,الجهة,الرقم المرجعي,مدة العقد,الشركة,المتبقي لإغلاق المنافسة,التصنيف,تاريخ النشر,تاريخ تسجيل الفرصة,تاريخ إغلاق المنافسة,نشاط المنافسة,مبلغ التقديم,شركة الترسية المشروع عليها,قيمة الترسية,,,,,,,,,,,,,,,,,,
20,عقد تأمين حاويات وترحيل النفايات والمخلفات من مباني معهد الإدارة العامة بالرياض,معهد الادارة العامة,250339002240,3 سنة,لوجستي,-225,لن يتم التقديم,06-Mar-25,24-Mar-25,09-Apr-25, أنشطة التدوير وجمع النفايات ومعالجتها وتصريفها واسترجاع المواد,,,,,,,,,,,,,,,,,,,,,
21,مشروع معالجة التشوهات البصرية لتقاطع طريق المدينة بمدينة حائل,أمانة منطقة حائل,250239004408,180 يوم,البيئة,-269,لن يتم التقديم,06-Feb-25,09-Feb-25,24-Feb-25,"تجارة مواد البناء والأدوات الكهربائية والصحية
مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة
أنشطة التدوير وجمع النفايات ومعالجتها وتصريفها واسترجاع المواد
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
22,صيانة وري المسطحات الخضراء والمباني والحدائق التابعة لبلدية قيا,بلدية قيا,250239001426,360 يوم,البيئة,-270,لن يتم التقديم,07-Feb-25,09-Feb-25,23-Feb-25,"مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)-إنشاء الطرق
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة
مقاولات فرعية تخصصية (أنشطة التشييد المتخصصة)- إنشاءات عامة
مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)",,,,,,,,,,,,,,,,,,,,,
23,اعادة تأهيل حديقة الشعيراء,بلدية القريع بني مالك,250239003324,220 يوم,البيئة,-255,لن يتم التقديم,06-Feb-25,09-Feb-25,10-Mar-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
24,تشغيل وصيانة التشجير للحدائق والملاعب وممرات المشاة بقطاع غرب مكة المكرمة,أمانة العاصمة المقدسة,250239007535,5 سنة,البيئة,-231,لن يتم التقديم,03-Mar-25,04-Mar-25,03-Apr-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
25,صيانة وتشغيل ونظافة وتشجير الصالة الملكية بمطار خليج نيوم,الهيئة العامة للطيران المدني,240939021450,1095 يوم,المقاولات,-292,لن يتم التقديم,01-Jan-25,05-Jan-25,01-Feb-25,"التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة
التشغيل والصيانة والنظافة للمنشآت - التشغيل وصيانة الطرق",,,,,,,,,,,,,,,,,,,,,
26,تشغيل وصيانة وزراعة ونظافة لنادي منسوبي وزارة الداخلية بأبها,لإدارة العامة لأندية منسوبي وزارة الداخلية,250139000693,3 سنة,البيئة,-273,لن يتم التقديم,20-Jan-25,02-Feb-25,20-Feb-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
27,تشغيل وصيانة مختبرات التربة والمياه والنباتات لمناطق المملكة,وزارة البيئة والمياه والزراعة,241239009722,36 شهر,البيئة,-256,لن يتم التقديم,06-Feb-25,06-Feb-25,09-Mar-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
28,توفير محروقات لمركبات العمليات التشغيلية لمحمية الامام تركي بن عبد الله الملكية والغير مشمولة بالسوق الالكتروني,محمية الإمام تركي بن عبدالله,250239001929,24 شهر,لوجستي,-253,لن يتم التقديم,09-Feb-25,10-Feb-25,12-Mar-25,"القطاعات الصناعية
البترول",,,,,,,,,,,,,,,,,,,,,
29,توريد وتركيب مستلزمات تقنية لتوسعة البنية التحتية لمنظومة الوزارة,وزارة البيئة والمياه والزراعة,241239010139,8 شهر,لوجستي,-297,لن يتم التقديم,24-Dec-24,24-Dec-24,27-Jan-25,تجارة الأدوات والآلات والأجهزة,,,,,,,,,,,,,,,,,,,,,
30,توريد معدات زراعة بمعهد الدراسات الفنية للقوات البحرية,القوات البحرية,241239011285,30 يوم,لوجستي,-314,لن يتم التقديم,25-Dec-24,25-Dec-24,10-Jan-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
31,توريد مواد الزراعة بمعهد الدراسات الفنية للقوات البحرية بالدمام,القوات البحرية,241239011123,30 يوم,لوجستي,-314,لن يتم التقديم,25-Dec-24,25-Dec-24,10-Jan-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
32,توريد محراث زراعي لهيئة تطوير محمية الملك سلمان بن عبدالعزيز الملكية,محمية الملك سلمان بن عبدالعزيز ,241239010276,3 شهر,لوجستي,-316,لن يتم التقديم,23-Dec-24,23-Dec-24,08-Jan-25,تجارة السيارات والمعدات والماكينات,,,,,,,,,,,,,,,,,,,,,
33,توريد محروقات ديزل لمحطة بلدية مدينة جبة,أمانة منطقة حائل,241239005509,8 شهر,لوجستي,-323,لن يتم التقديم,16-Dec-24,16-Dec-24,01-Jan-25,خدمات محطات الوقود وخدمات المركبات الأخرى,,,,,,,,,,,,,,,,,,,,,
34,اعمال مكافحة الحشرات والقوارض لمبنى المديرية العامة للدفاع المدني بالنسيم (1 – 2 – 3 - 4) مبنى الشؤون الفنية بدقم الوبر - مبنى القيادة الميدانية بمشعر منى – مبنى الاتصالات بالعوالي,"
ادارة الشؤون الفنية بالمشاعر والعاصمة المقدسة",250239015568,3 شهر,البيطرة,-264,لن يتم التقديم,24-Feb-25,24-Feb-25,01-Mar-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
35,مشروع جمع ونقل النفايات لمركز الشعبة والمراكز التابعة لها,أمانة منطقة الحدود الشمالية,241039002840,1825 يوم,لوجستي,-278,لن يتم التقديم,12-Jan-25,14-Jan-25,15-Feb-25,"أنشطة التدوير وجمع النفايات ومعالجتها وتصريفها واسترجاع المواد
التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة",,,,,,,,,,,,,,,,,,,,,
36,تقديم أعمال وخدمة توفير معدات ثقيلة مع تشغليها لمراكز الأبحاث والمحميات ووحدة الايواء,المركز الوطني لتنمية الحياة الفطرية,250139008818,36 شهر,لوجستي,-269,لن يتم التقديم,22-Jan-25,26-Jan-25,24-Feb-25,خدمات التأجير,,,,,,,,,,,,,,,,,,,,,
37,تأمين ليات وأدوات زراعية لأعمال الصيانة بالقسم الزراعي ببلدية الزلفي,أمانة منطقة الرياض,250139008485,30 يوم,لوجستي,-282,لن يتم التقديم,26-Jan-25,26-Jan-25,11-Feb-25,"تجارة مواد البناء والأدوات الكهربائية والصحية
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
38,تامين نجيلة واشجار وورود لمستشفيات القوات المسلحة بمنطقة الطائف,مستشفيات الهدا والأمير سلطان والأمير منصور ومركز التأهيل,250139011213,15 يوم,لوجستي,-294,فرص انتهى وقت التقديم لها,26-Jan-25,26-Jan-25,30-Jan-25,تجارة الكماليات,,,,,,,,,,,,,,,,,,,,,
39,تأمين الوسائل الوقائية وأدوات الاستكشاف عن البعوض بمناطق الحج والعمرة,وزارة الصحة الديوان العام,241239010951,2 شهر,لوجستي,-295,فرص انتهى وقت التقديم لها,29-Dec-24,26-Jan-25,29-Jan-25,الأنشطة الطبية,,,,,,,,,,,,,,,,,,,,,
40,استخراج تصريح الالتزام البيئي - تجمع الشرقية الصحي - مستشفى الولادة و الاطفال بالدمام,تجمع الشرقية الصحي,250339013085,30 يوم,الاستدامة,-229,لم يتم التقديم,20-Mar-25,26-Mar-25,05-Apr-25,الخدمات البيئية,,,,,,,,,,,,,,,,,,,,,
41,مشروع التطوير التنظيمي للهيئة العامة لعقارات الدولة,الهيئة العامة لعقارات الدولة,250339002561,24 شهر,الاستدامة,-228,لن يتم التقديم,04-Mar-25,18-Mar-25,06-Apr-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
42,تأسيس وتفعيل إدارة البنية المؤسسية لمركز برنامج جودة الحياة,مركز برنامج جودة الحياة,250339010849,12 شهر,الاستدامة,-226,لن يتم التقديم,23-Mar-25,23-Mar-25,08-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
43,تأمين مواد وقطع غيار الكهرباء الداخلية لإدارة مدينة الملك عبدالعزيز العسكرية بتبوك,القوات البرية,250139007849,60 يوم,لوجستي,-283,لن يتم التقديم,20-Jan-25,28-Jan-25,10-Feb-25,تجارة قطع الغيار الجديدة,,,,,,,,,,,,,,,,,,,,,
44,أعمال التخلص من النفايات الطبية والحيوية والكيمائية والبيطرية,جامعة الملك فيصل,250339010994,36 شهر,الاستدامة,-225,لن يتم التقديم,24-Mar-25,24-Mar-25,09-Apr-25,أنشطة التدوير وجمع النفايات ومعالجتها وتصريفها واسترجاع المواد,,,,,,,,,,,,,,,,,,,,,
45,نقل النفايات الغير طبية,مستشفيات الهدا والأمير سلطان والأمير منصور ومركز التأهيل,250339014275,3 سنة,الاستدامة,-211,لن يتم التقديم,23-Mar-25,24-Mar-25,23-Apr-25, التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
46,تامين وتوريد مياه لري المسطحات الخضراء والحدائق وتعبئية الخزانات بمحافظة ثار والمراكز التابعة,بلدية محافظة ثار,250139007460,366 يوم,لوجستي,-286,لن يتم التقديم,22-Jan-25,30-Jan-25,07-Feb-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
47,توريد قطع غيار ميكانيكة لادارة الابحاث والتقنيات الواعدة للمياه بالجبيل - 60016676,الهيئة السعودية للمياه,250139007152,1 سنة,لوجستي,-266,لن يتم التقديم,27-Jan-25,02-Feb-25,27-Feb-25,تجارة قطع الغيار الجديدة,,,,,,,,,,,,,,,,,,,,,
48,تقديم الخدمات الاستشارية لحوكمة وتقييم برامج ومؤسسات التعليم والتدريب السياحي بالمملكة,وزارة السياحة ,250339015734,18 شهر,الاستدامة,-210,لن يتم التقديم,24-Mar-25,24-Mar-25,24-Apr-25, انشطة الاستشارات الادارية,,,,,,,,,,,,,,,,,,,,,
49,مواد احتياج صيانة البنية التحتية الحالية لمحطة التبريد المركزي,القوات البرية,250239000036,8 شهر,لوجستي,-276,لن يتم التقديم,01-Feb-25,02-Feb-25,17-Feb-25,"تجارة الأدوات والآلات والأجهزة
تجارة الكماليات
تجارة قطع الغيار الجديدة",,,,,,,,,,,,,,,,,,,,,
50,اعمال صيانة واستئجار سيارات لبلدية حوطة سدير,أمانة منطقة الرياض,250139013585,36 شهر,لوجستي,-279,لن يتم التقديم,29-Jan-25,02-Feb-25,14-Feb-25,خدمات التأجير,,,,,,,,,,,,,,,,,,,,,
51,تقديم خدمات الإنتاج وحجز المساحات لمركز مائي,المركز الوطني لكفاءه وترشيد المياه,250139008653,365 يوم,السياحة,-266,لم يتم التقديم - لم يتم استلام العرض,27-Jan-25,02-Feb-25,27-Feb-25,خدمات النشر والطباعة والدعاية والاعلان والإنتاج الفني,,,,,,,,,,,,,,,,,,,,,
52,مشروع تقديم خدمات التسويق الرقمي,محمية الأمير محمد بن سلمان,250139002069,2 سنة,شركة دروع البيانات,-285,لن يتم التقديم,08-Jan-25,13-Jan-25,08-Feb-25,الأنشطة الاستشارية الأخرى,,,,,,,,,,,,,,,,,,,,,
53,برنامج هدف للقيادة,صندوق تنمية الموارد البشرية,241039004511,2 سنة,المعهد,-227,لن يتم التقديم,04-Mar-25,18-Mar-25,07-Apr-25,أنشطة التدريب,,,,,,,,,,,,,,,,,,,,,
54,عملية توريد مياه سقيا لبلدية محافظة ميسان,بلدية ميسان,250139009507,9 شهر,لوجستي,-284,لن يتم التقديم,23-Jan-25,02-Feb-25,09-Feb-25,إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء,,,,,,,,,,,,,,,,,,,,,
55,توريد قطع غيار ميكانيكة لادارة الابحاث والتقنيات الواعدة للمياه بالجبيل - 60016677,الهيئة السعودية للمياه,250139007155,1 سنة,لوجستي,-281,لن يتم التقديم,27-Jan-25,02-Feb-25,12-Feb-25,تجارة قطع الغيار الجديدة,,,,,,,,,,,,,,,,,,,,,
56,تامين تمور متنوعة,القوات البحرية,250239002445.00,1 أسبوع,لوجستي,-283,لن يتم التقديم,04-Feb-25,05-Feb-25,10-Feb-25,تجارة المواد الغذائية,,,,,,,,,,,,,,,,,,,,,
57,تأمين محروقات لادارة الخدمات ببلدية محافظة موقق,أمانة مطقة حائل,250239001407.00,360 يوم,مشاركة خاصة,-273,لن يتم التقديم,04-Feb-25,05-Feb-25,20-Feb-25,البترول,,,,,,,,,,,,,,,,,,,,,
58,تجهيز عدد 21 سياراة بالتجهيزات الأمنية,المديرية العامة للجوازات,250239001959.00,30 يوم,لوجستي,-273,لن يتم التقديم,04-Feb-25,05-Feb-25,20-Feb-25,"تجارة السيارات والمعدات والماكينات
خدمات صيانة وإصلاح المركبات
خدمات محطات الوقود وخدمات المركبات الأخرى",,,,,,,,,,,,,,,,,,,,,
59,توريد نجيلة صناعية وملحقاتها لفرع الإدارة الهندسية والأشغال بالجنوبية,بلدية محافظة تربة,250139014915,220 يوم,لوجستي,-261,لن يتم التقديم,01-Feb-25,05-Feb-25,04-Mar-25,مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة,,,,,,,,,,,,,,,,,,,,,
60,توريد مياه صالحة للشرب لمواقع فرع الإدارة الهندسية والأشغال بالوسطى,قوات الدفاع الجوي,250139003675,3 سنة,لوجستي,-256,لن يتم التقديم,04-Feb-25,05-Feb-25,09-Mar-25,إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء,,,,,,,,,,,,,,,,,,,,,
61,نقل وقود الديزل لوحدة انتاج العزيزية,المؤسسة العامة لتحلية المياه المالحة,250239001507,100 يوم,مشاركة خاصة,-280,لن يتم التقديم,04-Feb-25,05-Feb-25,13-Feb-25,انشطة النقل والتخزين,,,,,,,,,,,,,,,,,,,,,
62,تأمين احتياج حديقة الملك عبد الله من نجيل وشتلات وسباكة,القوات البرية,250239000898,45 يوم,لوجستي,-275,لن يتم التقديم,02-Feb-25,05-Feb-25,18-Feb-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
63,توريد بنزين 91 وديزل لبلدية الحصاة,أمانة منطقة الرياض,250239000694,6 شهر,مشاركة خاصة,-275,لن يتم التقديم,02-Feb-25,05-Feb-25,18-Feb-25,خدمات محطات الوقود وخدمات المركبات الأخرى,,,,,,,,,,,,,,,,,,,,,
64,توريد محروقات(ديزل ) لقسم التشغيل والصيانة ببلدية الجمش لعام2025,أمانة منطقة الرياض,250239000222,60 يوم,مشاركة خاصة,-275,لن يتم التقديم,02-Feb-25,05-Feb-25,18-Feb-25,خدمات محطات الوقود وخدمات المركبات الأخرى,,,,,,,,,,,,,,,,,,,,,
65,توريد مياه صالحة للشرب بالجنوبية,قوات الدفاع الجوي,241239002660,5 سنة,لوجستي,-256,لن يتم التقديم,04-Feb-25,05-Feb-25,09-Mar-25,إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء,,,,,,,,,,,,,,,,,,,,,
66,توريد مياه صالحة للشرب بجازان,قوات الدفاع الجوي,241239002655,5 سنة,لوجستي,-258,لن يتم التقديم,04-Feb-25,05-Feb-25,07-Mar-25,إمدادات الكهرباء والغاز والمياه والبخار وتكييف الهواء,,,,,,,,,,,,,,,,,,,,,
67,توريد مياه لبلدية القريع بني مالك,بلدية القريع بني مالك,250239001529,8 شهر,لوجستي,-268,لن يتم التقديم,04-Feb-25,05-Feb-25,25-Feb-25,التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة,,,,,,,,,,,,,,,,,,,,,
68,توريد نجيلة صناعية وملحقاتها لفرع الإدارة الهندسية والأشغال بالجنوبية,قوات الدفاع الجوي,250239001601,30 يوم,لوجستي,-272,لن يتم التقديم,05-Feb-25,05-Feb-25,21-Feb-25,"تجارة الأثاث المنزلي والمفروشات والستائر والسجاد
تجارة الأدوات والآلات والأجهزة
أنشطة زراعية",,,,,,,,,,,,,,,,,,,,,
69,تقديم خدمات لوجستية للاعمال الرئيسية والمساندة للامارة,أمارة منطقة مكة المكرمة,250139011998,12 شهر,لوجستي,-261,لن يتم التقديم,01-Feb-25,09-Feb-25,04-Mar-25,"خدمات النشر والطباعة والدعاية والاعلان والإنتاج الفني
انشطة النقل والتخزين
أنشطة المعارض والمؤتمرات
أنشطة الايواء
أنشطة سياحية
خدمات التأجير",,,,,,,,,,,,,,,,,,,,,
70,أعمال توريد وتأمين ديزل واصل محطة البلدية في قسم الحركة والتشغيل (بلدية حوطة سدير),أمانة منطقة الرياض,250139013684,180 يوم,مشاركة خاصة,-279,لن يتم التقديم,29-Jan-25,09-Feb-25,14-Feb-25,خدمات محطات الوقود وخدمات المركبات الأخرى,,,,,,,,,,,,,,,,,,,,,
71,تأمين مواد الحدادة و الألمنيوم لإدارة مدينة الملك عبدالعزيز العسكرية بتبوك,القوات البرية,250239001040,45 يوم,لوجستي,-274,لن يتم التقديم,03-Feb-25,09-Feb-25,19-Feb-25,تجارة قطع الغيار الجديدة,,,,,,,,,,,,,,,,,,,,,
72,تأمين احتياج حديقة الملك عبدالله من نجيل و شتلات و سباكة لإدارة مدينة الملك عبدالعزيز العسكرية بتبوك,القوات البرية,250239003814,45 يوم,لوجستي,-268,لن يتم التقديم,05-Feb-25,09-Feb-25,25-Feb-25,أنشطة زراعية,,,,,,,,,,,,,,,,,,,,,
73,تأمين مواد زراعية لإدارة مدينة الملك عبدالعزيز العسكرية,القوات البرية,250239003811,45 يوم,لوجستي,-272,لن يتم التقديم,05-Feb-25,09-Feb-25,21-Feb-25,تجارة قطع الغيار الجديدة,,,,,,,,,,,,,,,,,,,,,
74,توريد مواد كيميائية لمنظومة انتاج المياه بالقنفذة في الساحل الغربي,المؤسسة العامة لتحلية المياه المالحة,250239002441,180 يوم,لوجستي,-271,لن يتم التقديم,06-Feb-25,09-Feb-25,22-Feb-25,تجارة قطع الغيار الجديدة,,,,,,,,,,,,,,,,,,,,,
75,بشأن الحاجة لتنفيذ أعمال تأهيل وصيانة الواجهة الأمامية بالرصيف البحري بمركز الحسي بقطاع حرس الحدود بقطاع أملج,حرس الحدود,250239003089,30 يوم,لوجستي,-272,لن يتم التقديم,05-Feb-25,10-Feb-25,21-Feb-25, تجارة قطع الغيار الجديدة,,,,,,,,,,,,,,,,,,,,,
76,توريد مواد دهان لمركز التشغيل والصيانة بالقوة البحرية بجازان,القوات البحرية,250139011540,60 يوم,لوجستي,-267,لن يتم التقديم,10-Feb-25,10-Feb-25,26-Feb-25,تجارة مواد البناء والأدوات الكهربائية والصحية,,,,,,,,,,,,,,,,,,,,,
77,توريد مواد وقطع غيار مختبرات لمنظومة انتاج المياه في ينبع بالساحل الغربي,الهيئة السعودية للمياه,250239002668,180 يوم,لوجستي,-271,لن يتم التقديم,06-Feb-25,10-Feb-25,22-Feb-25,"التجارة
تجارة قطع الغيار الجديدة",,,,,,,,,,,,,,,,,,,,,
78,توريد 50000 لتر ديزل لمستشفى القوات المسلحة بقاعدة الملك عبدالعزيز بالظهران,مستشفى قاعدة الملك عبدالعزيز الجوية بالظهران,250239005017,60 يوم,لوجستي,-276,لن يتم التقديم,09-Feb-25,10-Feb-25,17-Feb-25,"الخدمات
خدمات محطات الوقود وخدمات المركبات الأخرى",,,,,,,,,,,,,,,,,,,,,
79,تأمين عشب صناعي - بلدية محافظة الرس,بلدية محافظة الرس,250239004911,90 يوم,لوجستي,-266,لن يتم التقديم,09-Feb-25,10-Feb-25,27-Feb-25,"القطاعات الصناعية
أنشطة زراعية
تجارة الحاصلات الزراعية",,,,,,,,,,,,,,,,,,,,,
80,تأمين مواد وقطع غيار الكهرباء الداخلية لإدارة مدينة الملك عبدالعزيز العسكرية بتبوك,القوات البرية,250239003062,60 يوم,لوجستي,-269,لن يتم التقديم,05-Feb-25,10-Feb-25,24-Feb-25,"التجارة
تجارة قطع الغيار الجديدة",,,,,,,,,,,,,,,,,,,,,
81,عملية مشروع توريد وتركيب أجهزة الطاقة غير المنقطعة لمواقع الامارة,أمارة منطقة الباحة,250339008658,90 يوم,الاستدامة,-231,لن يتم التقديم,18-Mar-25,19-Mar-25,03-Apr-25,تقنية المعلومات,,,,,,,,,,,,,,,,,,,,,
82,تأمين مواد وقطع غيار ميادين الرماية المغلقة والمفتوحة بالشمالية الغربية,القوات البرية,250239001599,3 شهر,لوجستي,-267,لن يتم التقديم,03-Feb-25,12-Jan-25,26-Feb-25,التجارة,,,,,,,,,,,,,,,,,,,,,
83,تأمين مضخات لمحطات إمداد المياة والأبار بأدارة مدينة الملك عبدالعزيز العسكرية بتبوك,القوات البرية,250239003375,5 شهر,لوجستي,-267,لن يتم التقديم,12-Jan-25,12-Jan-25,26-Feb-25,التجارة,,,,,,,,,,,,,,,,,,,,,
